Local Authority,Homes,Agencies,Hospitals
"Barking and Dagenham",29,47,2
"Barnet",117,75,7
"Barnsley",80,28,3
"Bath and North East Somerset",67,23,9
"Bedford",86,38,8
"Bexley",43,32,4
"Birmingham",368,192,41
"Blackburn with Darwen",42,26,5
"Blackpool",88,20,3
"Bolton",59,41,6
"Bournemouth",117,34,5
"Bracknell Forest",19,13,2
"Bradford",153,78,12
"Brent",85,45,7
"Brighton and Hove",121,37,8
"Bristol, City of",131,60,13
"Bromley",72,42,9
"Buckinghamshire",148,57,9
"Bury",69,25,6
"Calderdale",70,38,4
"Cambridgeshire",164,77,23
"Camden",22,27,13
"Central Bedfordshire",66,37,2
"Cheshire East",116,72,11
"Chester",100,65,10
"Cornwall",269,101,27
"City of London",0,3,2
"Coventry",90,76,4
"Croydon",167,75,10
"Cumbria",206,86,24
"Darlington",41,23,7
"Derby",88,48,7
"Derbyshire",295,126,13
"Devon",405,150,49
"Doncaster",104,40,7
"Dorset",180,67,19
"Dudley",104,42,5
"County Durham",173,56,13
"Ealing",70,47,5
"East Riding of Yorkshire",157,40,14
"East Sussex",359,87,25
"Enfield",121,58,10
"Essex",510,223,57
"Gateshead",78,27,3
"Gloucestershire",297,102,25
"Greenwich",53,31,6
"Hackney",33,24,3
"Halton",35,15,3
"Hammersmith and Fulham",15,21,4
"Hampshire",568,213,28
"Haringey",64,34,6
"Harrow",82,41,4
"Hartlepool",35,14,3
"Havering",74,38,4
"Herefordshire, County of",97,46,7
"Hertfordshire",316,136,41
"Hillingdon",62,31,7
"Hounslow",45,43,2
"Isle of Wight",98,27,5
"Isles of Scilly",1,0,1
"Islington",29,19,3
"Kensington and Chelsea",16,16,8
"Kent",691,224,48
"Kingston upon Hull, City of",103,28,9
"Kingston upon Thames",51,21,5
"Kirklees",152,54,7
"Knowsley",36,20,2
"Lambeth",66,25,4
"Lancashire",501,206,36
"Leeds",174,106,22
"Leicester",139,107,12
"Leicestershire",208,99,16
"Lewisham",70,40,12
"Lincolnshire",306,82,24
"Liverpool",141,68,22
"Luton",48,33,7
"Manchester",120,69,20
"Medway",87,31,3
"Merton",44,34,1
"Middlesbrough",51,25,4
"Milton Keynes",65,47,7
"Newcastle upon Tyne",84,39,11
"Newham",43,52,4
"Norfolk",408,142,30
"North East Lincolnshire",62,22,7
"North Lincolnshire",70,17,2
"North Somerset",129,38,8
"North Tyneside",64,23,3
"North Yorkshire",253,120,17
"Northamptonshire",296,123,21
"Northumberland",136,34,11
"Nottingham",103,57,12
"Nottinghamshire",307,102,24
"Oldham",50,33,6
"Oxfordshire",159,103,15
"Peterborough",53,52,6
"Plymouth",115,46,9
"Poole",57,36,5
"Portsmouth",52,22,4
"Reading",57,41,7
"Redbridge",85,52,6
"Redcar and Cleveland",60,12,5
"Richmond upon Thames",57,19,3
"Rochdale",68,35,6
"Rotherham",94,37,5
"Rutland",12,11,1
"Salford",60,28,9
"Sandwell",109,80,11
"Sefton",149,38,5
"Sheffield",148,80,19
"Shropshire",141,60,15
"Slough",24,24,2
"Solihull",71,35,6
"Somerset",262,73,32
"South Gloucestershire",92,46,5
"South Tyneside",47,12,5
"Southampton",70,36,7
"Southend-on-Sea",115,39,6
"Southwark",36,24,4
"St. Helens",48,35,5
"Staffordshire",287,112,20
"Stockport",80,42,8
"Stockton-on-Tees",63,25,6
"Stoke-on-Trent",100,42,6
"Suffolk",231,143,20
"Sunderland",125,36,10
"Surrey",500,200,32
"Sutton",94,34,4
"Swindon",60,29,6
"Tameside",49,19,4
"Telford and Wrekin",60,41,2
"Thurrock",45,23,4
"Torbay",109,28,8
"Tower Hamlets",22,40,9
"Trafford",72,42,5
"Wakefield",110,50,5
"Walsall",66,46,9
"Waltham Forest",79,32,2
"Wandsworth",43,20,14
"Warrington",56,28,8
"Warwickshire",203,82,10
"West Berkshire",57,35,4
"West Sussex",395,143,34
"Westminster",20,24,17
"Wigan",63,29,8
"Wiltshire",218,81,13
"Windsor and Maidenhead",45,18,6
"Wirral",147,45,6
"Wokingham",67,22,1
"Wolverhampton",92,46,5
"Worcestershire",233,93,18
"York",49,33,19
